Date,Value
31-Dec-19,140.09
31-Dec-18,136.02
31-Dec-17,115.05
31-Dec-16,101.08
31-Dec-15,94.43
31-Dec-14,112.46
31-Dec-13,110.98
31-Dec-12,97.25
31-Dec-11,99.45
31-Dec-10,91.09
31-Dec-09,60.92
31-Dec-08,18.27
31-Dec-07,81.33
31-Dec-06,104.26
31-Dec-05,91.59
31-Dec-04,79.41
31-Dec-03,68.26
31-Dec-02,39.37
31-Dec-01,36.07
31-Dec-00,74.17
31-Dec-99,73.88
31-Dec-98,59.39
31-Dec-97,63.56
31-Dec-96,63.03
31-Dec-95,57.1
31-Dec-94,52.76
31-Dec-93,38.75
31-Dec-92,34.72
31-Dec-91,29.89
31-Dec-90,41.17
31-Dec-89,46.81
31-Dec-88,50.87
31-Dec-87,39.14
31-Dec-86,33.82
31-Dec-85,34.5
31-Dec-84,40.79
31-Dec-83,35.75
31-Dec-82,33.43
31-Dec-81,42.18
31-Dec-80,44.33
31-Dec-79,50.01